Manufacturer ,Arxo
Name ,T.A 10.000L Pleno 
Volume (L),10441
Diameter,1.910
Level (cm) ,Volume (L) 
1,7
2,19
3,35
4,53
5,74
6,98
7,123
8,150
9,179
10,209
11,241
12,274
13,308
14,344
15,381
16,419
17,458
18,498
19,539
20,581
21,624
22,668
23,713
24,759
25,806
26,853
27,901
28,950
29,1000
30,1050
31,1101
32,1152
33,1205
34,1258
35,1311
36,1365
37,1420
38,1475
39,1531
40,1588
41,1645
42,1702
43,1760
44,1818
45,1877
46,1936
47,1996
48,2056
49,2117
50,2178
51,2239
52,2301
53,2363
54,2426
55,2489
56,2552
57,2615
58,2679
59,2743
60,2808
61,2873
62,2938
63,3003
64,3068
65,3134
66,3200
67,3267
68,3333
69,3400
70,3467
71,3534
72,3601
73,3669
74,3737
75,3805
76,3873
77,3941
78,4009
79,4078
80,4146
81,4215
82,4284
83,4353
84,4422
85,4491
86,4560
87,4630
88,4699
89,4768
90,4838
91,4907
92,4977
93,5046
94,5116
95,5186
96,5255
97,5325
98,5394
99,5464
100,5534
101,5603
102,5672
103,5742
104,5811
105,5881
106,5950
107,6019
108,6088
109,6157
110,6226
111,6294
112,6363
113,6432
114,6500
115,6568
116,6636
117,6704
118,6772
119,6839
120,6907
121,6974
122,7041
123,7108
124,7174
125,7240
126,7307
127,7372
128,7438
129,7503
130,7568
131,7633
132,7698
133,7762
134,7826
135,7889
136,7952
137,8015
138,8078
139,8140
140,8202
141,8263
142,8324
143,8385
144,8445
145,8504
146,8564
147,8623
148,8681
149,8739
150,8796
151,8853
152,8910
153,8965
154,9021
155,9075
156,9130
157,9183
158,9236
159,9288
160,9340
161,9391
162,9441
163,9491
164,9540
165,9588
166,9635
167,9682
168,9728
169,9772
170,9816
171,9859
172,9902
173,9943
174,9983
175,10022
176,10060
177,10097
178,10133
179,10167
180,10200
181,10232
182,10262
183,10291
184,10318
185,10343
186,10366
187,10387
188,10406
189,10422
190,10434
191,10441
